label,code
aop,"# The author of the book
title = ""J.K. Rowling"""
aop,"# The account's current balance
account_type = ""Savings"""
aop,"""""""
    This variable stores the user's phone number
""""""
email = ""example@example.com"""
aop,"# The car's brand
color = ""Red"""
aop,"""""""
    the user name
""""""
user_surname = 2"
aop,"# The dog's name
breed = ""Golden Retriever"""
aop,"# This variable stores the number of transactions
balance = 1000"
aop,old_age = 25 # Age of a young person
aop,"""""""
    Height of a short object
""""""
tall_height = 50"
aop,"# The product's name
description = ""computer"""
aop,far_distance = 100 # Distance from a close object
aop,"# The building's name
location = ""New York"""
aop,"""""""
    Quantity of a small amount
""""""
large_quantity = 10"
aop,"# The difference between two numbers
sum = 12 + 5"
aop,age = 25 # This variable stores the user's height
aop,"# The book's genre
author = ""George Orwell"""
aop,price = 9.99 # This variable stores the quantity of the product
aop,"# The drink's temperature
brand = ""Starbucks"""
aop,"""""""
    This variable stores the weight of the object
""""""
size = 10"
aop,"# This variable stores the average between two numbers
max_value = 3"
aop,"""""""
    Height of a low mountain
""""""
high_mountain_height = None"
aop,"name = ""John"" # This variable stores the user's email"
aop,"""""""
    This variable stores the temperature
""""""
weight = 200"
aop,fast_vehicle = False # Speed of a slow vehicle
aop,"# An array with items in ascending order
descending_array = [5, 4, 3, 2, 1, 0]"
aop,"""""""
    This variable stores the employee's salary
""""""
title = ""CEO"""
aop,"# An ecrypted string
decrypted_string = ""hello world"""
aop,"color = ""red"" # This variable stores the size of the object"
aop,"# Median value
extreme_value = 100"
aop,quantity = 10 # This variable stores the total price
aop,"# New sistem version
old_version = ""1.0.1"""
aop,salary = 50000 # This variable stores the employee's job title
aop,"# The max value of an array
min_value = 3"
aop,big_discount = 0.1 # Amount of a small discount
aop,"""""""
    Size of a small book
""""""
big_book_size = None"
aop,"# The best performance achieved by the system
worst_performance = ""3%"""
aop,"""""""
    this variable constains the list smallest value
""""""
list_bigger_number = 2"
aop,"# Favorite character in the game
most_hated_character = ""wario"""
aop,"""""""
    Quality of a good service
""""""
bad_service = False"
aop,"username = ""admin"" # This variable stores the password"
aop,"""""""
    This variable stores the number of reviews
""""""
rating = 4.5"
aop,long_line_length = 3.2 # Length of a short line
aop,"""""""
    Width of a narrow bridge
""""""
wide_bridge_width = None"
aop,old_child = False # Age of a young child
aop,"# approval rating of the film
dislike_percentage = ""20%"""
aop,"""""""
    This variable stores the remaining balance
""""""
total = 0"
aop,light_suitcase_weight = None # Weight of a heavy suitcase
aop,"# kilometers of land accessible on foot
land_inaccessible_on_foot = ""30km"""
aop,"""""""
    the number of object instances
""""""
object_value = ""value"""
aop,"flower = ""rose"" # This variable represents a car"
aop,"""""""
    lenght of the array
""""""
array_item_index = 2"
aop,"# Happiness level of a sad person
happy_person = True"
aop,warm_temperature = 20 # Temperature of a cold object
aop,"""""""
    Width of a narrow path
""""""
wide_path = 1.5"
aop,"# Weight of a light object
heavy_weight = 5.5"
aop,"# Set a variable for the big pool size
small_pool_size = 20"
aop,"# represents the description of a user
username = ""johndoe"""
aop,"""""""
    user's username
""""""
password = ""s3cur3P@ssword"""
aop,"email = ""johndoe@example.com"" #client age"
aop,"# number of posts of a given type
post_id = 123"
aop,"""""""
    represents the content of the article
""""""
title = ""New Blog Post"""
aop,"content = ""Lorem ipsum dolor sit amet..."" # paragraph title"
aop,"# value retrieved via keyword
keyword = ""Python programming"""
aop,"""""""
    comment author
""""""
comment_id = 456"
aop,"data = {""content"": ""Updated comment""} # represents useful information to reach the data"
aop,"# the user's date of birth
user_id = 789"
aop,"""""""
    surname of the subject's friend
""""""
friend_id = 1011"
aop,"# disabled by default until proven in the production
enabled = system.enabled()"
aop,"message = ""Hello, how are you doing?"" # recipient of the text to be sent"
aop,"# metadata of the message to be sent
message_id = 1213"
aop,"""""""
    geographic location of the message source
""""""
sender_id = 1415"
