label,code
get,"self.clouds

def get_clouds(self):
    if self.clouds == null: 
        h = Jenkins.get()
        for c in h.clouds:
            if c.canProvision(this):
                r.add(c)
    return self.clouds"
get,"self.nodes

def getNodes(self):
    nodes = self.nodes
    if nodes: return nodes

    set = HashSet()
    h = Jenkins.get()
    if self.matches(h):
        set.add(h)
    for n in h.getNodes()):
        if self.matches(n):
            set.add(n)
    }
    return self.nodes = Collections.unmodifiableSet(set)"
get,"self.executors

def get_total_executors(self) {
    self.executors = 0
    for n in getNodes():
        c = n.toComputer()
        if c and c.isOnline():
            self.executors += c.countExecutors()
    return self.executors"
get,"self.descriptions

def get_description(self):
    nodes = self.getNodes()
    if nodes.isEmpty():
        clouds = getClouds()
        if clouds.isEmpty():
            return None

        return self.descriptions"
get,"self.merged_list

def get_merged_list(self):
    self.merged_list = self.l1 + self.l2
    return self.merged_list"
get,"self.natural_sum

def sum_natural(self):
    if self.num < 0:
       print(""Please enter a positive number!"")
    else:
       self.natural_sum = 0
       while(self.num > 0):
           self.natural_sum += num
           num -= 1
       return self.natural_sum
"
get,"self.area

def get_area(self): 
    PI = 3.142
    self.area = PI * (self.r*self.r)
    return self.area"
get,"self.square_perimeter

def get_square_perimeter(self):
    if self.side > 0.
        self.square_perimeter = 4 * self.side
    return self.square_perimeter"
get,"self.rect_area

def get_rectangle_area(self):
    self.rect_area = self.height * self.base
    return self.rect_area"
get,"self.bill

def get_elect_bill(self):
    self.bill = -1
    if self.units > 0:
        if self.units <= 750:
            self.bill = 5*self.units
        else:
            self.bill = 5*(750) + 7*(self.units-750)

    return self.bill"
get,"self.day_dict

def get_day(self, n):
    self.day_dict = {
        1: 'Sunday',
        2: 'Monday',
        3: 'Tuesday',
        4: 'Wednesday',
        5: 'Thursday',
        6: 'Friday',
        7: 'Saturday'
    }
    return self.day_dict[n]"
get,"self.average

def get_average(self):
    if len(self.args) > 0:
        self.avg = sum(self.args)/len(self.args)
    return self.avg"
get,"self.average
    
def get_average(self):
    if len(self.args) > 0:
        return sum(self.args)/len(self.args)
    return None"
get,"self.compound_interest

def get_compound_interest(self):
    amount = self.price * (1 + (self.rate/100))**self.time
    self.compound_interest = amount - self.price
    return self.compound_interest"
get,"self.simple_interest

def get_simple_interest(self):
    if self.p > 0:
        self.simple_interest = (self.p*self.r*self.t)/100
        return self.simple_interest
    else:
        return 0"
get,"self.acceleration

def get_acceleration(self):
    if self.time != 0 and self.end_speed != 0:
        self.acceleration = (self.start_speed - self.end_speed)/self.time
    return self.acceleration"
get,"self.weight_category

def get_weight_category(self):
    bmi = self.weight/(self.height**2) 
    if (bmi < 16):
       self.weight_category = ""severely underweight""
    elif (bmi >= 16 and bmi < 18.5):
       self.weight_category = ""underweight""
    elif (bmi >= 18.5 and bmi < 25):
       self.weight_category = ""healthy""
    elif (bmi >= 25 and bmi < 30):
       self.weight_category = ""overweight""
    elif (bmi >= 30):
       self.weight_category =""severely overweight""
    return self.weight_category"
get,"self.mean

def get_mean(self):
    if self.num_list:
        self.mean = sum(self.num_list)/len(self.num_list)
    else:
        self.mean = None
    return self.mean"
get,"self.median    

def get_median(self):
    if self.list_number:
        if len(self.list_number)%2 != 0:
            self.median = sorted(self.list_number)[(len(self.list_number)/2 - 1]
        else:
            self.median = (sorted(self.list_number)[(len(self.list_number)/2) - 1] + sorted(self.list_number)[(len(self.list_numer)/2)])/2
    else:
        return None
    return self.median"
